#截止2023-12-25，山东省济南市IP地址共计426条记录，IP地址总数4145408。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
60.235.0.0	60.235.15.255	4096	电信
61.133.0.0	61.133.0.255	256	联通
61.133.3.0	61.133.4.255	512	联通
61.133.60.0	61.133.62.255	768	联通
61.133.70.0	61.133.78.255	2304	联通
61.133.80.0	61.133.80.255	256	联通
61.133.102.0	61.133.102.255	256	联通
61.156.0.0	61.156.5.255	1536	联通
61.156.7.0	61.156.10.255	1024	联通
61.156.27.0	61.156.27.255	256	联通
61.156.56.0	61.156.56.255	256	联通
61.156.58.0	61.156.90.255	8448	联通
61.162.0.0	61.162.9.255	2560	联通
61.162.21.0	61.162.21.255	256	联通
61.162.23.0	61.162.31.255	2304	联通
61.162.78.0	61.162.78.255	256	联通
61.162.80.0	61.162.81.255	512	联通
61.162.106.0	61.162.109.255	1024	联通
61.162.125.0	61.162.127.255	768	联通
61.162.248.0	61.162.253.255	1536	联通
61.179.0.0	61.179.15.255	4096	联通
61.179.18.0	61.179.19.255	512	联通
61.179.55.0	61.179.55.255	256	联通
61.179.116.0	61.179.116.255	256	联通
61.179.122.0	61.179.122.255	256	联通
61.179.126.0	61.179.126.255	256	联通
61.179.136.0	61.179.136.255	256	联通
61.179.138.0	61.179.138.255	256	联通
61.179.140.0	61.179.140.255	256	联通
61.179.142.0	61.179.142.255	256	联通
61.179.218.0	61.179.218.255	256	联通
61.179.220.0	61.179.221.255	512	联通
61.179.248.0	61.179.249.255	512	联通
61.179.255.0	61.179.255.255	256	联通
61.232.43.0	61.232.44.255	512	铁通
61.232.48.0	61.232.48.255	256	铁通
61.232.50.0	61.232.52.255	768	铁通
61.232.54.0	61.232.54.255	256	铁通
61.232.56.0	61.232.57.255	512	铁通
61.233.148.0	61.233.148.255	256	铁通
61.233.158.0	61.233.159.255	512	铁通
61.240.109.0	61.240.111.255	768	联通
61.240.116.0	61.240.116.255	256	联通
61.240.124.0	61.240.127.255	1024	联通
101.76.192.0	101.76.255.255	16384	教育网
103.15.200.0	103.15.203.255	1024	电信
103.22.108.0	103.22.111.255	1024	电信
103.26.156.0	103.26.159.255	1024	电信
103.30.228.0	103.30.231.255	1024	电信
103.32.88.0	103.32.91.255	1024	XX
103.34.196.0	103.34.203.255	2048	XX
103.37.12.0	103.37.15.255	1024	电信
103.47.212.0	103.47.215.255	1024	XX
103.53.144.0	103.53.147.255	1024	XX
103.66.248.0	103.66.251.255	1024	XX
103.67.0.0	103.67.3.255	1024	XX
103.91.208.0	103.91.211.255	1024	联通
103.98.168.0	103.98.171.255	1024	电信
103.115.68.0	103.115.71.255	1024	XX
103.198.64.0	103.198.67.255	1024	电信
103.202.176.0	103.202.179.255	1024	鹏博士
103.203.124.0	103.203.127.255	1024	鹏博士
103.203.168.0	103.203.171.255	1024	联通
103.219.176.0	103.219.179.255	1024	联通
103.239.152.0	103.239.155.255	1024	电信
103.248.64.0	103.248.65.255	512	XX
103.248.152.0	103.248.155.255	1024	联通
103.250.124.0	103.250.127.255	1024	联通
110.194.128.0	110.194.143.255	4096	铁通
110.194.200.0	110.194.215.255	4096	铁通
110.194.228.0	110.194.243.255	4096	铁通
110.195.0.0	110.195.63.255	16384	铁通
110.196.192.0	110.196.215.255	6144	铁通
110.196.232.0	110.196.235.255	1024	铁通
110.223.255.0	110.223.255.255	256	铁通
111.14.80.0	111.14.127.255	12288	移动
111.14.144.0	111.14.191.255	12288	移动
111.14.208.0	111.14.223.255	4096	移动
111.17.64.0	111.17.95.255	8192	移动
111.17.194.0	111.17.195.255	512	移动
111.17.212.0	111.17.213.255	512	移动
111.17.232.0	111.17.233.255	512	移动
111.34.16.0	111.34.79.255	16384	移动
111.34.192.0	111.34.255.255	16384	移动
111.36.32.0	111.36.63.255	8192	移动
111.36.80.0	111.36.111.255	8192	移动
111.36.144.0	111.36.175.255	8192	移动
111.37.0.0	111.37.0.255	256	移动
111.37.16.0	111.37.19.255	1024	移动
111.37.23.0	111.37.23.255	256	移动
111.37.26.0	111.37.27.255	512	移动
111.37.30.0	111.37.30.255	256	移动
112.6.48.0	112.6.51.255	1024	移动
112.8.0.0	112.8.31.255	8192	移动
112.36.128.0	112.36.255.255	32768	移动
112.37.160.0	112.37.163.255	1024	移动
112.38.208.0	112.38.255.255	12288	移动
112.53.64.0	112.53.64.255	256	移动
112.53.76.0	112.53.76.255	256	移动
112.53.79.0	112.53.80.255	512	移动
112.53.82.0	112.53.82.255	256	移动
112.53.87.0	112.53.95.255	2304	移动
112.224.0.0	112.224.63.255	16384	联通
112.224.76.0	112.224.125.255	12800	联通
112.224.128.0	112.224.128.255	256	联通
112.224.130.0	112.224.255.255	32256	联通
112.229.0.0	112.232.255.255	262144	联通
112.253.176.0	112.253.223.255	12288	联通
113.120.0.0	113.120.63.255	16384	电信
113.125.0.0	113.129.27.255	269312	电信
113.129.31.0	113.129.39.255	2304	电信
113.129.44.0	113.129.55.255	3072	电信
113.129.63.0	113.129.87.255	6400	电信
113.129.96.0	113.129.107.255	3072	电信
113.129.110.0	113.129.119.255	2560	电信
113.129.122.0	113.129.143.255	5632	电信
113.129.156.0	113.129.159.255	1024	电信
113.129.168.0	113.129.191.255	6144	电信
113.129.200.0	113.129.207.255	2048	电信
113.129.214.0	113.129.219.255	1536	电信
113.129.222.0	113.129.223.255	512	电信
113.129.240.0	113.129.251.255	3072	电信
113.129.253.0	113.129.255.255	768	电信
114.214.0.0	114.214.15.255	4096	教育网
114.214.64.0	114.214.79.255	4096	教育网
114.214.112.0	114.214.123.255	3072	教育网
115.168.78.0	115.168.78.255	256	电信
117.72.255.0	117.72.255.255	256	联通
117.73.252.0	117.73.255.255	1024	电信
117.132.13.0	117.132.14.255	512	移动
117.132.19.0	117.132.19.255	256	移动
117.132.27.0	117.132.27.255	256	移动
117.136.9.0	117.136.9.255	256	移动
117.136.37.0	117.136.37.255	256	移动
117.136.77.0	117.136.77.255	256	移动
117.136.93.0	117.136.94.255	512	移动
118.206.148.0	118.206.191.255	11264	鹏博士
119.162.0.0	119.164.255.255	196608	联通
119.188.0.0	119.188.239.255	61440	联通
119.188.252.0	119.188.255.255	1024	联通
120.53.128.0	120.54.255.255	98304	XX
120.192.0.0	120.192.31.255	8192	移动
120.192.64.0	120.192.66.255	768	移动
120.192.71.0	120.192.72.255	512	移动
120.192.80.0	120.192.97.255	4608	移动
120.192.100.0	120.192.101.255	512	移动
120.220.4.0	120.220.6.255	768	移动
120.220.8.0	120.220.13.255	1536	移动
120.220.15.0	120.220.15.255	256	移动
120.220.17.0	120.220.20.255	1024	移动
120.220.24.0	120.220.24.255	256	移动
120.220.27.0	120.220.27.255	256	移动
120.220.33.0	120.220.33.255	256	移动
120.220.37.0	120.220.37.255	256	移动
120.220.40.0	120.220.40.255	256	移动
120.221.0.0	120.221.0.255	256	移动
120.221.3.0	120.221.3.255	256	移动
120.221.5.0	120.221.5.255	256	移动
120.221.8.0	120.221.15.255	2048	移动
120.221.32.0	120.221.34.255	768	移动
120.221.43.0	120.221.43.255	256	移动
120.221.48.0	120.221.48.255	256	移动
120.221.52.0	120.221.52.255	256	移动
120.221.54.0	120.221.54.255	256	移动
120.221.96.0	120.221.110.255	3840	移动
120.221.127.0	120.221.150.255	6144	移动
120.221.153.0	120.221.161.255	2304	移动
120.221.163.0	120.221.170.255	2048	移动
120.221.175.0	120.221.183.255	2304	移动
120.221.185.0	120.221.185.255	256	移动
120.221.187.0	120.221.191.255	1280	移动
120.222.49.0	120.222.49.255	256	移动
120.223.240.0	120.223.245.255	1536	移动
120.223.247.0	120.223.247.255	256	移动
120.223.254.0	120.223.255.255	512	移动
120.224.32.0	120.224.57.255	6656	移动
120.224.213.0	120.224.216.255	1024	移动
121.249.168.0	121.249.175.255	2048	教育网
121.250.16.0	121.250.47.255	8192	教育网
121.250.50.0	121.250.50.255	256	教育网
121.250.56.0	121.250.79.255	6144	教育网
121.250.208.0	121.250.239.255	8192	教育网
121.251.128.0	121.251.131.255	1024	教育网
121.251.160.0	121.251.175.255	4096	教育网
122.4.0.0	122.4.63.255	16384	电信
122.8.1.0	122.8.1.255	256	XX
122.8.6.0	122.8.7.255	512	XX
122.8.10.0	122.8.83.255	18944	XX
122.8.86.0	122.8.88.255	768	XX
122.8.92.0	122.8.100.255	2304	XX
122.8.111.0	122.8.125.255	3840	XX
122.8.128.0	122.8.255.255	32768	XX
122.72.26.0	122.72.26.255	256	铁通
122.72.76.0	122.72.77.255	512	铁通
122.80.8.0	122.80.22.255	3840	铁通
122.80.48.0	122.80.61.255	3584	铁通
122.80.70.0	122.80.71.255	512	铁通
122.80.88.0	122.80.91.255	1024	铁通
122.80.192.0	122.80.223.255	8192	铁通
122.80.244.0	122.80.245.255	512	铁通
122.81.244.0	122.81.247.255	1024	铁通
123.94.16.0	123.94.16.255	256	铁通
123.129.192.0	123.129.255.255	16384	联通
123.168.0.0	123.168.3.255	1024	电信
123.171.192.0	123.171.255.255	16384	电信
123.232.0.0	123.233.255.255	131072	联通
124.128.0.0	124.128.255.255	65536	联通
124.130.192.0	124.130.207.255	4096	联通
124.130.224.0	124.130.231.255	2048	联通
124.130.240.0	124.130.247.255	2048	联通
124.130.254.0	124.130.255.255	512	联通
124.132.240.0	124.133.255.255	69632	联通
128.108.0.0	128.108.7.255	2048	电信
140.75.32.0	140.75.89.255	14848	电信
140.75.91.0	140.75.98.255	2048	电信
140.249.64.0	140.249.95.255	8192	电信
144.7.128.0	144.7.255.255	32768	电信
144.123.64.0	144.123.195.255	33792	电信
144.255.0.0	144.255.31.255	8192	电信
150.0.0.0	150.0.255.255	65536	电信
150.115.0.0	150.115.255.255	65536	电信
150.121.0.0	150.122.255.255	131072	电信
150.138.0.0	150.138.95.255	24576	电信
150.138.192.0	150.139.255.255	81920	电信
150.242.116.0	150.242.119.255	1024	电信
153.118.0.0	153.119.255.255	131072	电信
180.76.198.0	180.76.199.255	512	联通
180.201.0.0	180.201.31.255	8192	教育网
182.32.0.0	182.32.63.255	16384	电信
182.47.32.0	182.47.63.255	8192	电信
202.102.128.0	202.102.131.255	1024	联通
202.102.149.0	202.102.149.255	256	联通
202.102.151.0	202.102.154.255	1024	联通
202.102.159.0	202.102.159.255	256	联通
202.102.168.0	202.102.168.255	256	联通
202.102.170.0	202.102.171.255	512	联通
202.102.174.0	202.102.174.255	256	联通
202.102.182.0	202.102.183.255	512	联通
202.102.185.0	202.102.185.255	256	联通
202.102.188.0	202.102.189.255	512	联通
202.110.198.0	202.110.204.255	1792	联通
202.110.222.0	202.110.224.255	768	联通
202.110.227.0	202.110.227.255	256	联通
202.110.236.0	202.110.238.255	768	联通
202.110.242.0	202.110.244.255	768	联通
202.110.250.0	202.110.251.255	512	联通
202.110.253.0	202.110.253.255	256	联通
202.194.0.0	202.194.39.255	10240	教育网
202.194.64.0	202.194.103.255	10240	教育网
202.194.192.0	202.194.207.255	4096	教育网
202.194.224.0	202.194.231.255	2048	教育网
202.194.240.0	202.194.255.255	4096	教育网
203.93.188.0	203.93.188.255	256	联通
203.107.16.0	203.107.24.255	2304	阿里云
203.107.40.0	203.107.51.255	3072	阿里云
210.44.0.0	210.44.15.255	4096	教育网
210.44.40.0	210.44.47.255	2048	教育网
210.44.128.0	210.44.175.255	12288	教育网
210.44.208.0	210.44.231.255	6144	教育网
210.44.244.0	210.44.247.255	1024	教育网
210.52.19.0	210.52.19.255	256	联通
210.52.26.0	210.52.26.255	256	联通
210.52.41.0	210.52.41.255	256	联通
210.52.169.0	210.52.173.255	1280	联通
210.75.90.0	210.75.90.255	256	XX
210.78.24.0	210.78.25.255	512	联通
211.64.0.0	211.64.15.255	4096	教育网
211.64.48.0	211.64.51.255	1024	教育网
211.64.64.0	211.64.71.255	2048	教育网
211.64.80.0	211.64.95.255	4096	教育网
211.64.104.0	211.64.117.255	3584	教育网
211.64.120.0	211.64.127.255	2048	教育网
211.86.8.0	211.86.63.255	14336	教育网
211.87.192.0	211.87.239.255	12288	教育网
211.98.18.0	211.98.19.255	512	铁通
211.98.130.0	211.98.131.255	512	铁通
211.99.96.0	211.99.127.255	8192	XX
211.137.176.0	211.137.207.255	8192	移动
211.155.0.0	211.155.15.255	4096	铁通
211.165.64.0	211.165.64.255	256	电信
211.165.158.0	211.165.161.255	1024	电信
218.30.165.0	218.30.165.255	256	电信
218.56.48.0	218.56.63.255	4096	联通
218.56.188.0	218.56.255.255	17408	联通
218.57.8.0	218.57.10.255	768	联通
218.57.18.0	218.57.18.255	256	联通
218.57.20.0	218.57.25.255	1536	联通
218.57.27.0	218.57.27.255	256	联通
218.57.29.0	218.57.29.255	256	联通
218.57.31.0	218.57.31.255	256	联通
218.57.128.0	218.57.167.255	10240	联通
218.57.240.0	218.57.243.255	1024	联通
218.58.8.0	218.58.17.255	2560	联通
218.58.28.0	218.58.49.255	5632	联通
218.59.64.0	218.59.95.255	8192	联通
218.59.252.0	218.59.254.255	768	联通
218.98.128.0	218.98.159.255	8192	电信
218.98.193.0	218.98.223.255	7936	电信
218.104.0.0	218.104.15.255	4096	联通
218.201.166.0	218.201.167.255	512	移动
219.146.0.0	219.146.29.255	7680	电信
219.146.31.0	219.146.63.255	8448	电信
219.218.64.0	219.218.79.255	4096	教育网
219.218.96.0	219.218.127.255	8192	教育网
219.231.128.0	219.231.159.255	8192	教育网
219.231.208.0	219.231.215.255	2048	教育网
220.192.80.0	220.192.95.255	4096	联通
220.193.0.0	220.193.7.255	2048	联通
220.193.20.0	220.193.20.255	256	联通
220.193.96.0	220.193.127.255	8192	联通
220.203.222.0	220.203.222.255	256	联通
220.205.124.0	220.205.135.255	3072	联通
220.207.192.0	220.207.207.255	4096	联通
221.0.0.0	221.0.63.255	16384	联通
221.173.128.0	221.173.131.255	1024	铁通
221.173.140.0	221.173.143.255	1024	铁通
221.173.176.0	221.173.183.255	2048	铁通
221.173.190.0	221.173.191.255	512	铁通
221.173.216.0	221.173.219.255	1024	铁通
221.173.238.0	221.173.238.255	256	铁通
221.214.0.0	221.214.127.255	32768	联通
222.43.34.0	222.43.37.255	1024	铁通
222.43.39.0	222.43.41.255	768	铁通
222.43.43.0	222.43.43.255	256	铁通
222.43.49.0	222.43.49.255	256	铁通
222.43.96.0	222.43.97.255	512	铁通
222.43.106.0	222.43.108.255	768	铁通
222.43.116.0	222.43.125.255	2560	铁通
222.43.139.0	222.43.139.255	256	铁通
222.43.146.0	222.43.147.255	512	铁通
222.43.160.0	222.43.171.255	3072	铁通
222.43.224.0	222.43.231.255	2048	铁通
222.135.152.0	222.135.159.255	2048	联通
222.135.174.0	222.135.175.255	512	联通
222.135.180.0	222.135.185.255	1536	联通
222.135.224.0	222.135.255.255	8192	联通
222.173.0.0	222.173.63.255	16384	电信
222.175.96.0	222.175.159.255	16384	电信
222.194.32.0	222.194.79.255	12288	教育网
222.194.112.0	222.194.135.255	6144	教育网
222.194.160.0	222.194.175.255	4096	教育网
222.206.0.0	222.206.32.255	8448	教育网
222.206.48.0	222.206.63.255	4096	教育网
222.206.80.0	222.206.87.255	2048	教育网
222.206.96.0	222.206.111.255	4096	教育网
222.206.156.0	222.206.167.255	3072	教育网
222.207.128.0	222.207.143.255	4096	教育网
222.207.152.0	222.207.159.255	2048	教育网
222.207.168.0	222.207.175.255	2048	教育网
222.207.200.0	222.207.203.255	1024	教育网
222.207.208.0	222.207.223.255	4096	教育网
222.207.232.0	222.207.255.255	6144	教育网
223.29.208.0	223.29.211.255	1024	XX
223.98.0.0	223.98.31.255	8192	移动
223.98.112.0	223.98.207.255	24576	移动
223.99.1.0	223.99.3.255	768	移动
223.99.6.0	223.99.7.255	512	移动
223.99.9.0	223.99.9.255	256	移动
223.99.12.0	223.99.12.255	256	移动
223.99.16.0	223.99.16.255	256	移动
223.99.20.0	223.99.20.255	256	移动
223.99.25.0	223.99.25.255	256	移动
223.99.128.0	223.99.128.255	256	移动
223.99.132.0	223.99.132.255	256	移动
223.99.139.0	223.99.139.255	256	移动
223.99.141.0	223.99.151.255	2816	移动
223.99.161.0	223.99.161.255	256	移动
223.99.163.0	223.99.163.255	256	移动
223.99.170.0	223.99.170.255	256	移动
223.99.176.0	223.99.183.255	2048	移动
223.99.188.0	223.99.188.255	256	移动
223.99.190.0	223.99.190.255	256	移动
223.99.192.0	223.99.193.255	512	移动
223.99.196.0	223.99.197.255	512	移动
223.99.202.0	223.99.203.255	512	移动
223.99.207.0	223.99.207.255	256	移动
223.99.209.0	223.99.209.255	256	移动
223.99.212.0	223.99.212.255	256	移动
223.99.228.0	223.99.255.255	7168	移动
223.104.186.0	223.104.186.255	256	移动
223.104.190.0	223.104.191.255	512	移动
