#截止2023-12-25，安徽省合肥市IP地址共计340条记录，IP地址总数1969152。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
61.132.128.0	61.132.139.255	3072	电信
61.132.144.0	61.132.154.255	2816	电信
61.132.160.0	61.132.166.255	1792	电信
61.132.168.0	61.132.169.255	512	电信
61.132.172.0	61.132.173.255	512	电信
61.132.176.0	61.132.176.255	256	电信
61.132.180.0	61.132.180.255	256	电信
61.132.188.0	61.132.189.255	512	电信
61.132.192.0	61.132.255.255	16384	电信
61.133.128.0	61.133.191.255	16384	电信
61.190.0.0	61.190.95.255	24576	电信
61.190.170.0	61.190.173.255	1024	电信
61.190.194.0	61.190.195.255	512	电信
61.190.220.0	61.190.221.255	512	电信
61.190.228.0	61.190.229.255	512	电信
61.190.234.0	61.190.235.255	512	电信
61.190.239.0	61.190.240.255	512	电信
61.190.243.0	61.190.251.255	2304	电信
61.190.252.0	61.190.255.255	1024	阿里巴巴
61.191.13.0	61.191.13.255	256	电信
61.191.16.0	61.191.63.255	12288	电信
61.191.104.0	61.191.111.255	2048	电信
61.191.192.0	61.191.207.255	4096	电信
61.235.36.0	61.235.36.255	256	铁通
61.235.41.0	61.235.41.255	256	铁通
61.235.43.0	61.235.43.255	256	铁通
61.235.45.0	61.235.45.255	256	铁通
61.235.47.0	61.235.47.255	256	铁通
61.237.180.0	61.237.191.255	3072	铁通
61.241.128.0	61.241.159.255	8192	联通
101.46.0.0	101.46.31.255	8192	鹏博士
101.47.32.0	101.47.47.255	4096	鹏博士
101.76.144.0	101.76.191.255	12288	教育网
101.105.64.0	101.105.127.255	16384	鹏博士
103.6.108.0	103.6.111.255	1024	XX
103.6.228.0	103.6.231.255	1024	XX
103.7.140.0	103.7.143.255	1024	XX
103.7.216.0	103.7.219.255	1024	XX
103.8.32.0	103.8.32.255	256	电信
103.8.33.0	103.8.33.255	256	XX
103.8.34.0	103.8.35.255	512	联通
103.8.68.0	103.8.71.255	1024	XX
103.9.24.0	103.9.27.255	1024	XX
103.9.108.0	103.9.111.255	1024	XX
103.11.168.0	103.11.171.255	1024	XX
103.14.132.0	103.14.135.255	1024	联通
103.14.240.0	103.14.243.255	1024	XX
103.22.16.0	103.22.19.255	1024	电信
103.28.204.0	103.28.207.255	1024	联通
103.32.80.0	103.32.83.255	1024	XX
103.33.88.0	103.33.91.255	1024	XX
103.43.104.0	103.43.107.255	1024	联通
103.56.152.0	103.56.155.255	1024	XX
103.105.16.0	103.105.19.255	1024	XX
103.198.216.0	103.198.247.255	8192	XX
103.214.48.0	103.214.51.255	1024	联通
103.220.92.0	103.220.95.255	1024	XX
103.220.248.0	103.221.51.255	15360	XX
103.221.92.0	103.221.95.255	1024	XX
103.240.72.0	103.240.75.255	1024	联通
103.242.176.0	103.242.179.255	1024	XX
103.253.224.0	103.253.227.255	1024	联通
110.122.0.0	110.122.39.255	10240	铁通
110.123.192.0	110.123.199.255	2048	铁通
111.39.224.0	111.39.255.255	8192	移动
111.141.0.0	111.141.95.255	24576	铁通
111.141.107.0	111.141.107.255	256	铁通
111.141.116.0	111.141.119.255	1024	铁通
111.141.136.0	111.141.137.255	512	铁通
112.26.16.0	112.26.31.255	4096	移动
112.26.64.0	112.26.67.255	1024	移动
112.26.128.0	112.26.143.255	4096	移动
112.26.160.0	112.26.175.255	4096	移动
112.26.192.0	112.26.207.255	4096	移动
112.26.226.0	112.26.226.255	256	移动
112.26.229.0	112.26.231.255	768	移动
112.26.237.0	112.26.237.255	256	移动
112.26.239.0	112.26.239.255	256	移动
112.27.112.0	112.27.127.255	4096	移动
112.27.192.0	112.27.255.255	16384	移动
112.28.128.0	112.28.131.255	1024	移动
112.28.147.0	112.28.151.255	1280	移动
112.28.154.0	112.28.155.255	512	移动
112.28.171.0	112.28.192.255	5632	移动
112.28.196.0	112.28.201.255	1536	移动
112.28.203.0	112.28.203.255	256	移动
112.29.0.0	112.29.4.255	1280	移动
112.29.128.0	112.29.193.255	16896	移动
112.29.195.0	112.29.199.255	1280	移动
112.29.201.0	112.29.209.255	2304	移动
112.29.212.0	112.29.215.255	1024	移动
112.29.217.0	112.29.255.255	9984	移动
112.30.32.0	112.30.63.255	8192	移动
112.30.96.0	112.30.144.255	12544	移动
112.30.146.0	112.30.147.255	512	移动
112.30.151.0	112.30.151.255	256	移动
112.30.160.0	112.30.163.255	1024	移动
112.30.192.0	112.30.192.255	256	移动
112.30.197.0	112.30.198.255	512	移动
112.31.0.0	112.31.15.255	4096	移动
112.31.240.0	112.32.127.255	36864	移动
112.53.239.0	112.53.239.255	256	移动
112.122.0.0	112.122.31.255	8192	联通
112.122.156.0	112.122.159.255	1024	联通
112.122.232.0	112.122.239.255	2048	联通
112.123.8.0	112.123.15.255	2048	联通
112.123.232.0	112.123.239.255	2048	联通
112.132.0.0	112.132.3.255	1024	联通
112.132.32.0	112.132.39.255	2048	联通
112.132.48.0	112.132.63.255	4096	联通
112.132.208.0	112.132.231.255	6144	联通
114.97.128.0	114.97.255.255	32768	电信
114.100.64.0	114.100.127.255	16384	电信
114.102.128.0	114.102.191.255	16384	电信
114.107.0.0	114.107.63.255	16384	电信
114.213.144.0	114.213.159.255	4096	教育网
114.213.192.0	114.213.255.255	16384	教育网
114.214.128.0	114.214.143.255	4096	教育网
114.214.160.0	114.214.255.255	24576	教育网
115.168.40.0	115.168.40.255	256	电信
115.168.72.0	115.168.72.255	256	电信
116.149.192.0	116.149.207.255	4096	联通
116.149.238.0	116.149.239.255	512	联通
117.64.96.0	117.64.255.255	40960	电信
117.67.128.0	117.67.255.255	32768	电信
117.68.128.0	117.68.255.255	32768	电信
117.71.16.0	117.71.95.255	20480	电信
117.136.100.0	117.136.103.255	1024	移动
117.136.116.0	117.136.116.255	256	移动
117.142.4.0	117.142.4.255	256	移动
117.142.45.0	117.142.47.255	768	移动
118.84.1.0	118.84.2.255	512	电信
120.193.73.0	120.193.126.255	13824	移动
120.209.112.0	120.209.119.255	2048	移动
120.209.128.0	120.209.159.255	8192	移动
120.209.163.0	120.209.183.255	5376	移动
120.209.192.0	120.209.215.255	6144	移动
120.209.232.0	120.209.239.255	2048	移动
120.209.255.0	120.210.2.255	1024	移动
120.210.40.0	120.210.40.255	256	移动
120.210.72.0	120.210.79.255	2048	移动
120.210.88.0	120.210.95.255	2048	移动
120.210.128.0	120.210.165.255	9728	移动
120.210.168.0	120.210.168.255	256	移动
120.210.186.0	120.210.189.255	1024	移动
120.210.192.0	120.210.230.255	9984	移动
120.210.232.0	120.210.245.255	3584	移动
120.210.247.0	120.210.255.255	2304	移动
121.251.16.0	121.251.29.255	3584	教育网
121.251.40.0	121.251.43.255	1024	教育网
121.251.52.0	121.251.53.255	512	教育网
121.255.0.0	121.255.255.255	65536	移动
122.72.23.0	122.72.23.255	256	铁通
122.72.62.0	122.72.63.255	512	铁通
122.83.0.0	122.83.31.255	8192	铁通
122.83.248.0	122.83.251.255	1024	铁通
122.92.0.0	122.92.31.255	8192	铁通
122.92.240.0	122.92.247.255	2048	铁通
123.94.14.0	123.94.14.255	256	铁通
124.14.160.0	124.14.191.255	8192	鹏博士
124.73.0.0	124.73.127.255	32768	电信
124.73.192.0	124.73.255.255	16384	电信
124.112.128.0	124.112.159.255	8192	电信
124.113.0.0	124.113.159.255	40960	电信
124.113.176.0	124.113.191.255	4096	电信
144.48.64.0	144.48.67.255	1024	联通
163.53.52.0	163.53.55.255	1024	XX
180.89.160.0	180.89.223.255	16384	鹏博士
183.160.0.0	183.160.255.255	65536	电信
183.162.0.0	183.162.5.255	1536	电信
183.162.7.0	183.162.7.255	256	电信
183.162.9.0	183.162.12.255	1024	电信
183.162.14.0	183.162.18.255	1280	电信
183.162.20.0	183.162.22.255	768	电信
183.162.24.0	183.162.31.255	2048	电信
183.162.33.0	183.162.37.255	1280	电信
183.162.39.0	183.162.40.255	512	电信
183.162.42.0	183.162.63.255	5632	电信
202.38.64.0	202.38.95.255	8192	教育网
202.57.216.0	202.57.219.255	1024	XX
202.58.112.0	202.58.115.255	1024	XX
202.102.192.0	202.102.198.255	1792	电信
202.102.204.0	202.102.207.255	1024	电信
202.102.215.0	202.102.217.255	768	电信
202.102.219.0	202.102.223.255	1280	电信
202.111.192.0	202.111.195.255	1024	电信
202.111.202.0	202.111.202.255	256	电信
202.111.207.0	202.111.207.255	256	电信
202.111.223.0	202.111.223.255	256	电信
202.127.200.0	202.127.207.255	2048	科技网
202.136.248.0	202.136.251.255	1024	XX
202.140.140.0	202.140.143.255	1024	XX
202.141.160.0	202.141.175.255	4096	电信
202.141.176.0	202.141.191.255	4096	移动
202.174.124.0	202.174.124.255	256	XX
202.174.125.0	202.174.125.255	256	印度电信
202.174.126.0	202.174.127.255	512	XX
203.90.12.0	203.90.15.255	1024	XX
203.93.250.0	203.93.250.255	256	联通
203.93.254.0	203.93.255.255	512	联通
210.15.28.0	210.15.28.255	256	联通
210.15.62.0	210.15.62.255	256	联通
210.45.0.0	210.45.31.255	8192	教育网
210.45.64.0	210.45.127.255	16384	教育网
210.45.176.0	210.45.191.255	4096	教育网
210.45.208.0	210.45.237.255	7680	教育网
210.45.240.0	210.45.255.255	4096	教育网
210.52.248.0	210.52.250.255	768	联通
210.52.253.0	210.52.254.255	512	联通
210.53.45.0	210.53.45.255	256	联通
210.72.22.0	210.72.22.255	256	科技网
210.73.16.0	210.73.31.255	4096	科技网
211.70.56.0	211.70.63.255	2048	教育网
211.86.144.0	211.86.167.255	6144	教育网
211.86.176.0	211.86.183.255	2048	教育网
211.86.200.0	211.86.207.255	2048	教育网
211.86.216.0	211.86.223.255	2048	教育网
211.91.80.0	211.91.111.255	8192	联通
211.91.117.0	211.91.117.255	256	联通
211.138.176.0	211.138.191.255	4096	移动
211.141.160.0	211.141.161.255	512	移动
211.141.187.0	211.141.189.255	768	移动
211.141.248.0	211.141.252.255	1280	移动
211.162.0.0	211.162.15.255	4096	鹏博士
218.22.0.0	218.22.63.255	16384	电信
218.22.224.0	218.22.231.255	2048	电信
218.23.32.0	218.23.47.255	4096	电信
218.23.96.0	218.23.127.255	8192	电信
218.104.64.0	218.104.65.255	512	联通
218.104.68.0	218.104.79.255	3072	联通
218.106.80.0	218.106.80.255	256	联通
218.106.82.0	218.106.85.255	1024	联通
218.106.87.0	218.106.90.255	1024	联通
218.106.92.0	218.106.95.255	1024	联通
218.185.192.0	218.185.223.255	8192	XX
219.231.0.0	219.231.15.255	4096	教育网
219.231.32.0	219.231.47.255	4096	教育网
219.243.247.0	219.243.247.255	256	教育网
220.114.128.0	220.114.191.255	16384	鹏博士
220.115.128.0	220.115.143.255	4096	鹏博士
220.178.0.0	220.178.127.255	32768	电信
220.180.32.0	220.180.63.255	8192	电信
220.180.224.0	220.180.255.255	8192	电信
220.192.128.0	220.192.135.255	2048	联通
220.195.160.0	220.195.255.255	24576	联通
220.205.120.0	220.205.123.255	1024	联通
220.248.224.0	220.248.224.255	256	联通
220.248.226.0	220.248.226.255	256	联通
220.248.228.0	220.248.235.255	2048	联通
220.248.237.0	220.248.240.255	1024	联通
220.248.242.0	220.248.246.255	1280	联通
220.248.248.0	220.248.255.255	2048	联通
221.130.112.0	221.130.115.255	1024	移动
221.130.118.0	221.130.140.255	5888	移动
221.130.144.0	221.130.144.255	256	移动
221.130.159.0	221.130.160.255	512	移动
221.130.162.0	221.130.175.255	3584	移动
221.177.144.0	221.177.145.255	512	移动
221.177.248.0	221.177.248.255	256	移动
221.183.1.0	221.183.1.255	256	移动
222.48.0.0	222.48.0.255	256	铁通
222.48.2.0	222.48.31.255	7680	铁通
222.48.110.0	222.48.113.255	1024	铁通
222.48.176.0	222.48.187.255	3072	铁通
222.195.0.0	222.195.7.255	2048	教育网
222.195.10.0	222.195.15.255	1536	教育网
222.195.64.0	222.195.95.255	8192	教育网
222.195.100.0	222.195.103.255	1024	教育网
222.195.112.0	222.195.127.255	4096	教育网
222.207.0.0	222.207.9.255	2560	教育网
222.207.64.0	222.207.67.255	1024	教育网
222.207.70.0	222.207.79.255	2560	教育网
223.103.18.0	223.103.18.255	256	移动
223.103.37.0	223.103.39.255	768	移动
223.103.50.0	223.103.51.255	512	移动
223.104.18.0	223.104.18.255	256	移动
223.104.33.0	223.104.35.255	768	移动
223.210.0.0	223.210.31.255	8192	鹏博士
223.215.225.0	223.215.255.255	7936	电信
223.240.192.0	223.240.255.255	16384	电信
223.244.64.0	223.244.127.255	16384	电信
