#截止2023-12-25，湖北省武汉市IP地址共计487条记录，IP地址总数4547840。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
119.36.55.0	119.36.55.255	256	联通
119.36.60.0	119.36.67.255	2048	联通
119.36.82.0	119.36.82.255	256	联通
119.36.84.0	119.36.97.255	3584	联通
119.36.99.0	119.36.101.255	768	联通
119.36.103.0	119.36.104.255	512	联通
119.36.106.0	119.36.106.255	256	联通
119.36.108.0	119.36.131.255	6144	联通
119.36.142.0	119.36.142.255	256	联通
119.36.152.0	119.36.155.255	1024	联通
119.36.160.0	119.36.160.255	256	湖北广电
119.36.161.0	119.36.162.255	512	联通
119.36.163.0	119.36.163.255	256	湖北广电
119.36.168.0	119.36.171.255	1024	联通
119.36.188.0	119.36.191.255	1024	联通
119.36.208.0	119.36.209.255	512	联通
119.36.211.0	119.36.214.255	1024	联通
119.36.216.0	119.36.219.255	1024	联通
119.36.220.0	119.36.220.255	256	湖北广电
119.36.221.0	119.36.227.255	1792	联通
119.36.229.0	119.36.243.255	3840	联通
119.79.0.0	119.79.255.255	65536	鹏博士
119.96.0.0	119.98.255.255	196608	电信
119.101.32.0	119.101.63.255	8192	电信
119.101.96.0	119.101.127.255	8192	电信
119.103.0.0	119.103.175.255	45056	电信
119.103.177.0	119.103.255.255	20224	电信
120.202.0.0	120.202.2.255	768	移动
120.202.14.0	120.202.14.255	256	移动
120.202.16.0	120.202.35.255	5120	移动
120.202.146.0	120.202.146.255	256	移动
120.202.150.0	120.202.151.255	512	移动
120.202.164.0	120.202.183.255	5120	移动
120.202.240.0	120.202.240.255	256	移动
120.202.249.0	120.202.255.255	1792	移动
121.60.0.0	121.60.127.255	32768	电信
121.60.192.0	121.60.199.255	2048	电信
121.60.236.0	121.60.255.255	5120	电信
122.72.10.0	122.72.11.255	512	铁通
122.72.84.0	122.72.87.255	1024	铁通
122.82.5.0	122.82.7.255	768	铁通
122.82.24.0	122.82.31.255	2048	铁通
122.82.80.0	122.82.83.255	1024	铁通
122.82.104.0	122.82.109.255	1536	铁通
122.82.140.0	122.82.141.255	512	铁通
122.82.172.0	122.82.187.255	4096	铁通
122.82.248.0	122.82.255.255	2048	铁通
122.188.32.0	122.188.35.255	1024	联通
122.190.0.0	122.190.3.255	1024	联通
122.190.12.0	122.190.14.255	768	联通
122.190.40.0	122.190.51.255	3072	联通
122.190.56.0	122.190.59.255	1024	联通
122.190.64.0	122.190.71.255	2048	联通
122.190.78.0	122.190.79.255	512	联通
122.190.100.0	122.190.103.255	1024	联通
122.190.108.0	122.190.109.255	512	联通
122.190.128.0	122.190.135.255	2048	联通
122.190.204.0	122.190.207.255	1024	联通
122.190.212.0	122.190.215.255	1024	联通
122.190.220.0	122.190.223.255	1024	联通
122.190.232.0	122.190.237.255	1536	联通
122.190.238.0	122.190.238.255	256	华数
122.190.239.0	122.190.239.255	256	联通
122.191.32.0	122.191.39.255	2048	联通
122.191.48.0	122.191.53.255	1536	联通
122.191.55.0	122.191.56.255	512	联通
122.191.58.0	122.191.58.255	256	联通
122.191.60.0	122.191.63.255	1024	联通
122.191.76.0	122.191.79.255	1024	联通
122.191.104.0	122.191.107.255	1024	联通
122.204.0.0	122.204.95.255	24576	教育网
122.204.128.0	122.204.231.255	26624	教育网
122.205.0.0	122.205.255.255	65536	教育网
122.207.8.0	122.207.15.255	2048	教育网
122.207.224.0	122.207.255.255	8192	教育网
123.85.0.0	123.85.15.255	4096	铁通
123.85.64.0	123.85.64.255	256	铁通
123.85.189.0	123.85.190.255	512	铁通
123.85.192.0	123.85.197.255	1536	铁通
123.85.199.0	123.85.199.255	256	铁通
123.94.3.0	123.94.3.255	256	铁通
123.94.18.0	123.94.18.255	256	铁通
124.15.0.0	124.15.63.255	16384	鹏博士
124.203.176.0	124.203.191.255	4096	鹏博士
124.203.224.0	124.203.227.255	1024	鹏博士
125.219.208.0	125.220.123.255	44032	教育网
125.220.126.0	125.220.169.255	11264	教育网
125.220.178.0	125.220.255.255	19968	教育网
125.221.2.0	125.221.9.255	2048	教育网
125.221.14.0	125.221.15.255	512	教育网
125.221.20.0	125.221.23.255	1024	教育网
125.221.30.0	125.221.39.255	2560	教育网
125.221.42.0	125.221.43.255	512	教育网
125.221.46.0	125.221.127.255	20992	教育网
159.226.124.0	159.226.127.255	1024	科技网
159.226.162.0	159.226.163.255	512	科技网
159.226.255.0	159.226.255.255	256	科技网
160.19.216.0	160.19.219.255	1024	XX
171.42.144.0	171.42.155.255	3072	电信
171.43.128.0	171.43.255.255	32768	电信
171.45.0.0	171.47.255.255	196608	电信
171.81.128.0	171.83.127.255	131072	电信
171.112.208.0	171.113.255.255	77824	电信
175.189.0.0	175.189.255.255	65536	鹏博士
180.76.213.0	180.76.213.255	256	联通
180.90.0.0	180.90.127.255	32768	鹏博士
183.92.40.0	183.92.47.255	2048	联通
183.92.52.0	183.92.59.255	2048	联通
183.92.112.0	183.92.119.255	2048	联通
183.92.164.0	183.92.167.255	1024	联通
183.92.172.0	183.92.187.255	4096	联通
183.92.240.0	183.92.243.255	1024	联通
183.92.248.0	183.92.251.255	1024	联通
183.93.64.0	183.93.67.255	1024	联通
183.93.80.0	183.93.87.255	2048	联通
183.93.120.0	183.93.123.255	1024	联通
183.93.149.0	183.93.151.255	768	联通
183.93.168.0	183.93.169.255	512	联通
183.93.171.0	183.93.171.255	256	联通
183.93.188.0	183.93.191.255	1024	联通
183.93.228.0	183.93.233.255	1536	联通
183.94.0.0	183.94.7.255	2048	联通
183.94.20.0	183.94.31.255	3072	联通
183.94.38.0	183.94.39.255	512	联通
183.94.44.0	183.94.59.255	4096	联通
183.94.64.0	183.94.71.255	2048	联通
183.94.76.0	183.94.79.255	1024	联通
183.94.92.0	183.94.95.255	1024	联通
183.94.104.0	183.94.123.255	5120	联通
183.94.128.0	183.94.159.255	8192	联通
183.94.172.0	183.94.179.255	2048	联通
183.94.212.0	183.94.227.255	4096	联通
183.94.244.0	183.94.255.255	3072	联通
183.95.32.0	183.95.35.255	1024	联通
183.95.44.0	183.95.51.255	2048	联通
183.95.56.0	183.95.95.255	10240	联通
183.95.132.0	183.95.135.255	1024	联通
183.95.152.0	183.95.159.255	2048	联通
183.95.184.0	183.95.191.255	2048	联通
183.95.216.0	183.95.223.255	2048	联通
183.95.248.0	183.95.253.255	1536	联通
183.168.64.0	183.168.255.255	49152	教育网
183.169.160.0	183.169.175.255	4096	教育网
202.97.44.0	202.97.44.255	256	电信
202.97.87.0	202.97.87.255	256	电信
202.103.0.0	202.103.5.255	1536	电信
202.103.13.0	202.103.14.255	512	电信
202.103.17.0	202.103.17.255	256	电信
202.103.24.0	202.103.45.255	5632	电信
202.103.48.0	202.103.48.255	256	电信
202.103.56.0	202.103.56.255	256	电信
202.103.62.0	202.103.63.255	512	电信
202.110.128.0	202.110.191.255	16384	电信
202.112.20.0	202.112.22.255	768	教育网
202.114.0.0	202.114.215.255	55296	教育网
202.114.224.0	202.114.255.255	8192	教育网
202.127.146.0	202.127.146.255	256	科技网
202.127.148.0	202.127.148.255	256	科技网
202.127.150.0	202.127.151.255	512	科技网
202.127.153.0	202.127.153.255	256	科技网
202.127.155.0	202.127.158.255	1024	科技网
202.127.251.0	202.127.251.255	256	教育网
202.205.48.0	202.205.63.255	4096	教育网
203.0.104.0	203.0.111.255	2048	电信
203.2.64.0	203.2.71.255	2048	电信
203.93.112.0	203.93.112.255	256	联通
203.93.189.0	203.93.189.255	256	联通
203.93.198.0	203.93.199.255	512	联通
203.93.224.0	203.93.239.255	4096	联通
210.5.128.0	210.5.135.255	2048	联通
210.5.137.0	210.5.143.255	1792	联通
210.42.24.0	210.42.31.255	2048	教育网
210.42.48.0	210.42.127.255	20480	教育网
210.42.136.0	210.42.141.255	1536	教育网
210.42.144.0	210.42.175.255	8192	教育网
210.51.212.0	210.51.215.255	1024	联通
210.51.236.0	210.51.236.255	256	联通
210.51.240.0	210.51.240.255	256	联通
210.51.242.0	210.51.242.255	256	联通
210.53.0.0	210.53.7.255	2048	联通
211.67.0.0	211.67.31.255	8192	教育网
211.67.48.0	211.67.79.255	8192	教育网
211.69.128.0	211.69.143.255	4096	教育网
211.69.160.0	211.69.175.255	4096	教育网
211.69.192.0	211.69.207.255	4096	教育网
211.84.96.0	211.84.111.255	4096	教育网
211.85.160.0	211.85.175.255	4096	教育网
211.85.192.0	211.85.215.255	6144	教育网
211.91.120.0	211.91.135.255	4096	联通
211.91.140.0	211.91.169.255	7680	联通
211.91.171.0	211.91.172.255	512	联通
211.91.178.0	211.91.179.255	512	联通
211.98.70.0	211.98.70.255	256	铁通
211.98.102.0	211.98.103.255	512	铁通
211.98.105.0	211.98.105.255	256	铁通
211.98.107.0	211.98.107.255	256	铁通
211.98.117.0	211.98.118.255	512	铁通
211.98.235.0	211.98.235.255	256	铁通
211.137.48.0	211.137.79.255	8192	移动
211.161.120.0	211.161.127.255	2048	鹏博士
211.161.144.0	211.161.191.255	12288	鹏博士
211.162.234.0	211.162.235.255	512	鹏博士
211.164.54.0	211.164.57.255	1024	电信
211.164.62.0	211.164.63.255	512	电信
218.104.96.0	218.104.111.255	4096	联通
218.106.112.0	218.106.127.255	4096	联通
218.196.59.0	218.196.63.255	1280	教育网
218.196.128.0	218.196.159.255	8192	教育网
218.197.0.0	218.197.15.255	4096	教育网
218.197.32.0	218.197.47.255	4096	教育网
218.197.64.0	218.197.167.255	26624	教育网
218.197.176.0	218.197.255.255	20480	教育网
218.198.108.0	218.198.111.255	1024	教育网
218.198.216.0	218.198.223.255	2048	教育网
218.199.0.0	218.199.7.255	2048	教育网
218.199.16.0	218.199.47.255	8192	教育网
218.199.64.0	218.199.255.255	49152	教育网
218.200.64.0	218.200.67.255	1024	移动
218.200.76.0	218.200.77.255	512	移动
218.200.107.0	218.200.107.255	256	移动
218.200.240.0	218.200.240.255	256	移动
219.138.152.0	219.138.159.255	2048	电信
219.139.192.0	219.140.255.255	81920	电信
219.242.184.0	219.242.191.255	2048	教育网
219.243.243.0	219.243.243.255	256	教育网
220.113.64.0	220.113.127.255	16384	鹏博士
220.192.136.0	220.192.143.255	2048	联通
220.202.0.0	220.202.27.255	7168	联通
220.202.32.0	220.202.35.255	1024	联通
220.202.44.0	220.202.47.255	1024	联通
220.205.224.0	220.205.231.255	2048	联通
220.207.136.0	220.207.139.255	1024	联通
220.231.231.0	220.231.235.255	1280	鹏博士
220.249.64.0	220.249.127.255	16384	联通
221.174.120.0	221.174.120.255	256	铁通
221.232.0.0	221.232.255.255	65536	电信
221.234.0.0	221.234.7.255	2048	电信
221.234.48.0	221.234.51.255	1024	电信
221.234.128.0	221.234.255.255	32768	电信
221.235.32.0	221.235.99.255	17408	电信
221.235.216.0	221.235.223.255	2048	电信
221.235.244.0	221.235.255.255	3072	电信
222.20.0.0	222.20.175.255	45056	教育网
222.20.192.0	222.20.255.255	16384	教育网
222.21.212.0	222.21.215.255	1024	教育网
222.21.224.0	222.21.255.255	8192	教育网
222.22.100.0	222.22.111.255	3072	教育网
222.22.128.0	222.22.223.255	24576	教育网
222.42.0.0	222.42.7.255	2048	铁通
222.42.64.0	222.42.69.255	1536	铁通
222.42.72.0	222.42.103.255	8192	铁通
222.42.108.0	222.42.127.255	5120	铁通
222.42.137.0	222.42.137.255	256	铁通
222.42.162.0	222.42.162.255	256	铁通
222.42.164.0	222.42.167.255	1024	铁通
222.42.199.0	222.42.199.255	256	铁通
222.42.206.0	222.42.206.255	256	铁通
222.42.232.0	222.42.240.255	2304	铁通
222.42.242.0	222.42.243.255	512	铁通
222.42.245.0	222.42.245.255	256	铁通
222.42.252.0	222.42.255.255	1024	铁通
223.75.0.0	223.75.9.255	2560	移动
223.75.11.0	223.75.12.255	512	移动
223.75.14.0	223.75.31.255	4608	移动
223.75.37.0	223.75.37.255	256	移动
223.75.51.0	223.75.53.255	768	移动
223.75.57.0	223.75.73.255	4352	移动
223.75.224.0	223.75.224.255	256	移动
223.104.20.0	223.104.20.255	256	移动
223.209.128.0	223.209.255.255	32768	鹏博士
